12839327857,联想G460AL-ITH（N）全国联保,3899,"我2014年11月08日从淘宝卖家凌雄本本店里买到的,当时这个宝贝卖1555.14元,现在转给需要的朋友。",2015-06-27 00:00:00,2015-07-29 20:40:27,lmq990,广东广州,0,0,http://2.taobao.com/item.htm?id=12839327857,http://img.alicdn.com/bao/uploaded/i2/T1kSWTXeNtXXcM81sY_025901.jpg_120x120.jpg,Lenovo
15114311674,联想笔记本电脑,2000,全新好用联想电脑质量保证,2015-07-28 18:17:06,2015-07-28 18:35:06,sks116533956,广东湛江,1,0,http://2.taobao.com/item.htm?id=15114311674,http://img.alicdn.com/bao/uploaded/i2/TB1Vr2hHVXXXXXEXpXXhVXzFVXX_120x120.jpg,Lenovo
15327611344,THINPADE4.0电脑,2000,联想的高端游戏笔记本，电脑成色还不错，全套原装的，电脑清理过灰尘，没任何维修，懂的人不必解释，不懂的...,2015-07-25 21:30:05,2015-07-26 21:30:04,sks116533956,广东湛江,7,1,http://2.taobao.com/item.htm?id=15327611344,http://img.alicdn.com/bao/uploaded/i1/T1AquJFtpXXXXJ5G_c_120x120.jpg,Lenovo
16239366263,联想 thinkpad IBM T60 双核 二手笔记本电脑 14寸,1998,联想thinkpadIBMT60双核二手笔记本电脑14寸,2015-06-23 00:00:00,2015-07-26 20:55:21,kong5327,广东佛山,1,0,http://2.taobao.com/item.htm?id=16239366263,http://img.alicdn.com/bao/uploaded/i3/T1AIquFd0fXXcvuU79_120x120.jpg,Lenovo
17975562399,thinkpad联想X230-CTO美行 蓝指摄背光IPS顶配 +Intel 180G SSD,3800,1.使用时长：2.新旧程度描述：3.存在的问题：4.到手时间/有效期/适用条件：因工作需要换电脑，把...,2015-07-25 20:42:43,2015-07-29 20:42:36,zhuer1982,浙江嘉兴,33,19,http://2.taobao.com/item.htm?id=17975562399,http://img.alicdn.com/bao/uploaded/i3/T1C95KFyJXXXaQoEAT_120x120.jpg,Lenovo
18534353129,联想Y580N-IFI（i5 3230M）专卖店样机低价出售,4000, 喜欢的可来我家试机，机子装了可测试游戏。本子无任何问...,2015-07-11 00:00:00,2015-07-29 20:40:27,chinaazb,陕西西安,7,1,http://2.taobao.com/item.htm?id=18534353129,http://img.alicdn.com/bao/uploaded/i3/T1TBuwFi4gXXbRptI9_120x120.jpg,Lenovo
19037927362,电脑,2000,用了有几十个小时吧虽然买了一段时间但由于基本没用所以还很新。配置不是很高适合看个电影啦之类的13年买的...,2015-05-07 00:00:00,2015-07-26 20:55:21,东方不败364112,福建泉州,0,0,http://2.taobao.com/item.htm?id=19037927362,http://img.alicdn.com/bao/uploaded/i1/T1V4jZFkJeXXa8bSg3_120x120.jpg,Lenovo
19654132352,Thinkpad x200s 7470C23(6+9芯电池) 赠底座+硬盘托架+背包,1500,8成新Thinkpadx200s7470C23(赠送的配件力度无比强大)淘宝最低价商务型笔记本，碳纤维Cpu：IntelCore2Duo1...,2015-07-14 00:00:00,2015-07-29 20:40:27,金竹玉叶,上海上海,11,6,http://2.taobao.com/item.htm?id=19654132352,http://img.alicdn.com/bao/uploaded/i2/T1vQ2IXaFnXXXcd4U._112511.jpg_120x120.jpg,Lenovo
19833265937,LENOVO手机,2000,"99新展示机-几乎全新,精品展示机，几乎全新，可官方查询到信息！出口北美地区销售的机型，支持现场检测！...",2015-07-26 18:41:22,2015-07-27 16:41:21,lyy89124,广东深圳,0,0,http://2.taobao.com/item.htm?id=19833265937,http://img.alicdn.com/bao/uploaded/i3/T1KH1tFoXcXXbgfRPX_120x120.jpg,Lenovo
20247861024,经典商务小黑  Thinkpad T400 笔记本 美国版,1500,个人自用美国版ThinkpadT400 商务笔记本。酷睿2双核t9400， 主频2.53Ghz。4G内存。英特尔...,2015-07-27 20:40:34,2015-07-29 20:40:27,春光与狼共舞,湖北咸宁,18,26,http://2.taobao.com/item.htm?id=20247861024,http://img.alicdn.com/bao/uploaded/i2/TB1Jx3NHpXXXXbjXXXXxcZp.XXX_120x120.jpg,Lenovo
21930840893,联想Y460,1999,2010风靡一时的小Y。现因工作需要，欲转让。保存的很好很完整。欢迎鉴定。 联想Y460(白)笔记本处理...,2015-07-25 21:03:41,2015-07-26 21:03:34,福临门维平,广东深圳,13,5,http://2.taobao.com/item.htm?id=21930840893,http://img.alicdn.com/bao/uploaded/i4/T1TnysFdVXXXcbQXU__120x120.jpg,Lenovo
21993447885,联想 Y450A-TSI(NBA特色版),3500,基本参数处理器存储设备显示屏显卡多媒体设备网络通信I/O接口输入设备电源描述外观其他  &...,2015-07-25 20:40:41,2015-07-29 20:40:27,zhangluhuixing,辽宁阜新,9,0,http://2.taobao.com/item.htm?id=21993447885,http://img.alicdn.com/bao/uploaded/i1/T1w.WjFc4eXXX0A7IT_120x120.jpg,Lenovo
23452228581,联想 SL410k 笔记本 主板 壳 屏 键盘 硬盘 内存 CPU 屏线 摄像头,2400,拆机卖配件，详情请联系，非诚勿扰 联想ThinkPadSL410k笔记本电脑 配置：处理器双核T4300&...,2015-03-14 00:00:00,2015-07-26 20:55:21,huanglv9338,贵州遵义,13,0,http://2.taobao.com/item.htm?id=23452228581,http://img.alicdn.com/bao/uploaded/i4/T1f1hGFaddXXXA7TMT_120x120.jpg,Lenovo
23462044194,笔记本,2000,1.使用时长：1年2.新旧程度描述：8成新3.存在的问题：无任何毛病4.到手时间/有效期/适用条件：&...,2015-07-12 00:00:00,2015-07-26 20:55:21,ttxskkll,湖北武汉,1,0,http://2.taobao.com/item.htm?id=23462044194,http://img.alicdn.com/bao/uploaded/i4/T1hjOtFgRaXXcl.ZIY_120x120.jpg,Lenovo
35012382257,二手笔记本联想Ｇ４６０,2000,1.使用时长：1年，想换苹果AIR2.新旧程度描述：8成新3.存在的问题：无使用问题，安装正版WIN7家庭高级...,2014-11-24 00:00:00,2015-07-26 20:55:21,tb3079976,贵州贵阳,5,0,http://2.taobao.com/item.htm?id=35012382257,http://img.alicdn.com/bao/uploaded/i1/T1uu51FolfXXc9jA2b_120x120.jpg,Lenovo
35157919820,出售2手Y460YITAI,2000,1.新旧程度描述：9成新，保护的不错。屏幕上的膜还没拆掉,2015-07-10 00:00:00,2015-07-26 20:55:21,淘商天下联盟,江苏苏州,3,1,http://2.taobao.com/item.htm?id=35157919820,http://img.alicdn.com/bao/uploaded/i2/T1JUKuXB4gXXc1M_M8_120x120.jpg,Lenovo
